,CDR3 Distance,SASA_pep,SASA_CDR1a,SASA_CDR2a,SASA_CDR3a,SASA_CDR1b,SASA_CDR2b,SASA_CDR3b,SASA_MHCa,SASA_MHCb,RMSF_pep,RMSF_CDR1a,RMSF_CDR2a,RMSF_CDR3a,RMSF_CDR1b,RMSF_CDR2b,RMSF_CDR3b,RMSF_MHCa,RMSF_MHCb,GYR_pep,GYRx_pep,GYRy_pep,GYRz_pep,GYR_CDR1a,GYRx_CDR1a,GYRy_CDR1a,GYRz_CDR1a,GYR_CDR2a,GYRx_CDR2a,GYRy_CDR2a,GYRz_CDR2a,GYR_CDR3a,GYRx_CDR3a,GYRy_CDR3a,GYRz_CDR3a,GYR_CDR1b,GYRx_CDR1b,GYRy_CDR1b,GYRz_CDR1b,GYR_CDR2b,GYRx_CDR2b,GYRy_CDR2b,GYRz_CDR2b,GYR_CDR3b,GYRx_CDR3b,GYRy_CDR3b,GYRz_CDR3b,GYR_MHCa,GYRx_MHCa,GYRy_MHCa,GYRz_MHCa,GYR_MHCb,GYRx_MHCb,GYRy_MHCb,GYRz_MHCb,Total Contacts CDR1a_MHCa,Total Contacts CDR1a_pep,Total Contacts CDR2a_MHCa,Total Contacts CDR2a_pep,Total Contacts CDR3a_pep,Total Contacts CDR3a_MHCa,Total Contacts CDR1b_MHCb,Total Contacts CDR1b_pep,Total Contacts CDR2b_MHCb,Total Contacts CDR2b_pep,Total Contacts CDR3b_pep,Total Contacts CDR3b_MHCb,Total H-Bonds CDR1a_MHCa,Total H-Bonds CDR1a_pep,Total H-Bonds CDR2a_MHCa,Total H-Bonds CDR2a_pep,Total H-Bonds CDR3a_pep,Total H-Bonds CDR3a_MHCa,Total H-Bonds CDR1b_MHCb,Total H-Bonds CDR1b_pep,Total H-Bonds CDR2b_MHCb,Total H-Bonds CDR2b_pep,Total H-Bonds CDR3b_pep,Total H-Bonds CDR3b_MHCb,Bond Lifetime
1,1.092,13.486,12.694,10.613,12.595,11.207,9.721,13.685,45.991,40.838,0.0545,0.0397,0.0397,0.0347,0.0446,0.0496,0.0446,0.0496,0.0545,0.814,0.784,0.744,0.382,0.643,0.533,0.603,0.422,0.613,0.543,0.442,0.533,0.593,0.422,0.492,0.533,0.573,0.452,0.513,0.442,0.513,0.452,0.432,0.362,0.663,0.402,0.593,0.593,1.668,1.497,1.568,1.628,1.568,1.487,1.447,1.508,262.6666666666667,343.3333333333333,529.3333333333334,0.0,77.33333333333333,0.3333333333333333,105.66666666666667,125.0,404.3333333333333,3.6666666666666665,598.0,262.6666666666667,7.666666666666667,3.6666666666666665,8.0,0.0,0.0,0.0,1.3333333333333333,2.3333333333333335,7.666666666666667,0.0,5.0,0.0,29547.466666666667
2,1.092,13.189,12.991,10.712,12.0,10.811,9.423,13.982000000000001,45.198,39.946,0.0496,0.0496,0.0496,0.0347,0.0397,0.0446,0.0397,0.0496,0.0446,0.8140000000000001,0.774,0.784,0.322,0.653,0.5529999999999999,0.613,0.442,0.613,0.5329999999999999,0.41200000000000003,0.5429999999999999,0.583,0.402,0.49200000000000005,0.5329999999999999,0.563,0.43200000000000005,0.49200000000000005,0.47200000000000003,0.503,0.452,0.382,0.402,0.6629999999999999,0.392,0.613,0.593,1.6580000000000001,1.4969999999999999,1.608,0.8140000000000001,1.548,1.4969999999999999,1.4669999999999999,0.643,631.0,47.0,577.0,0.0,136.0,21.66666666666667,30.66666666666667,0.0,303.3333333333333,0.0,427.0,163.66666666666666,15.666666666666664,0.0,11.666666666666664,0.0,0.0,0.0,2.0,0.0,8.333333333333334,0.0,1.3333333333333333,0.0,3057.7
3,1.112,12.395999999999999,13.09,10.117,12.0,11.107999999999999,9.82,14.279000000000002,45.0,40.144,0.0397,0.0496,0.0397,0.0347,0.0397,0.0397,0.0347,0.0545,0.0446,0.804,0.764,0.5329999999999999,0.6629999999999999,0.653,0.5529999999999999,0.573,0.442,0.573,0.49200000000000005,0.43200000000000005,0.48200000000000004,0.583,0.37200000000000005,0.513,0.523,0.563,0.452,0.49200000000000005,0.452,0.523,0.47200000000000003,0.392,0.402,0.643,0.43200000000000005,0.583,0.5529999999999999,1.6580000000000001,1.528,1.186,1.337,1.568,1.4969999999999999,1.176,0.975,441.0,121.0,273.0,0.0,133.33333333333334,14.666666666666664,0.0,56.33333333333334,43.0,0.0,421.66666666666674,52.0,7.333333333333332,1.3333333333333333,6.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,3.333333333333333,0.0,3084.166666666666
4,1.031,13.387,13.288,10.414000000000001,12.198,11.107999999999999,10.017999999999999,14.18,44.505,40.739000000000004,0.0545,0.0595,0.0397,0.0446,0.0496,0.0397,0.0397,0.0496,0.0545,0.804,0.774,0.7040000000000001,0.48200000000000004,0.693,0.593,0.643,0.42200000000000004,0.563,0.48200000000000004,0.41200000000000003,0.503,0.593,0.41200000000000003,0.503,0.5429999999999999,0.563,0.43200000000000005,0.513,0.452,0.523,0.47200000000000003,0.392,0.41200000000000003,0.6729999999999999,0.402,0.613,0.623,1.6480000000000001,1.508,1.538,0.894,1.558,1.4869999999999999,1.4169999999999998,0.8140000000000001,196.33333333333331,207.0,320.3333333333333,0.0,3.0,0.0,12.666666666666664,2.6666666666666665,96.33333333333331,0.0,286.0,229.66666666666663,2.333333333333333,2.0,2.333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,2.333333333333333,0.0,2.333333333333333,0.0,2425.1666666666665
5,1.01,13.387,12.793,10.216000000000001,12.495,11.207,9.721,13.883,45.891999999999996,39.847,0.0496,0.0545,0.0347,0.0397,0.0496,0.0397,0.0397,0.0496,0.0496,0.794,0.754,0.7340000000000001,0.593,0.643,0.513,0.603,0.442,0.573,0.47200000000000003,0.402,0.5329999999999999,0.583,0.402,0.49200000000000005,0.5429999999999999,0.563,0.42200000000000004,0.49200000000000005,0.47200000000000003,0.513,0.462,0.392,0.392,0.643,0.392,0.573,0.583,1.6580000000000001,1.518,1.588,1.095,1.548,1.4669999999999999,1.4469999999999998,0.623,701.0,182.0,171.33333333333334,0.0,125.0,0.0,44.0,92.33333333333331,441.66666666666674,22.33333333333333,364.33333333333326,176.0,16.0,0.3333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,8.666666666666666,0.0,1.0,0.3333333333333333,3555.366666666667
6,1.092,13.288,13.09,10.712,11.901,11.306,9.919,14.675999999999998,44.802,40.045,0.0496,0.0446,0.0397,0.0397,0.0347,0.0347,0.0347,0.0496,0.0496,0.794,0.7340000000000001,0.764,0.382,0.653,0.563,0.573,0.402,0.623,0.563,0.392,0.5529999999999999,0.583,0.392,0.503,0.523,0.563,0.442,0.49200000000000005,0.442,0.523,0.462,0.382,0.42200000000000004,0.6729999999999999,0.382,0.643,0.623,1.6580000000000001,1.4769999999999999,1.608,1.025,1.558,1.4869999999999999,1.4969999999999999,0.6829999999999999,263.0,16.333333333333332,482.0,0.0,33.666666666666664,10.0,19.0,3.333333333333333,114.66666666666669,2.6666666666666665,356.33333333333326,43.33333333333334,6.333333333333332,0.0,8.666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,0.0,2.6666666666666665,0.0,1287.5
7,1.071,12.793,12.892000000000001,10.712,12.0,11.107999999999999,9.423,13.982000000000001,45.495,39.55,0.0446,0.0496,0.0397,0.0347,0.0397,0.0446,0.0446,0.0545,0.0446,0.8140000000000001,0.764,0.784,0.322,0.653,0.5429999999999999,0.593,0.43200000000000005,0.613,0.5329999999999999,0.402,0.5529999999999999,0.583,0.392,0.49200000000000005,0.5329999999999999,0.563,0.43200000000000005,0.47200000000000003,0.47200000000000003,0.49200000000000005,0.43200000000000005,0.35200000000000004,0.42200000000000004,0.6629999999999999,0.392,0.613,0.593,1.6580000000000001,1.508,1.588,0.8140000000000001,1.548,1.4869999999999999,1.4869999999999999,0.573,661.3333333333334,91.0,698.3333333333335,0.0,199.33333333333331,27.33333333333333,66.33333333333333,0.0,561.0,0.0,584.6666666666666,303.6666666666667,15.0,0.0,16.0,0.0,0.0,0.3333333333333333,3.0,0.0,10.333333333333334,0.0,4.333333333333333,0.0,7403.466666666666
8,1.092,13.189,12.694,10.712,12.099,11.207,9.82,14.18,44.604,39.748000000000005,0.0446,0.0545,0.0496,0.0347,0.0446,0.0446,0.0446,0.0446,0.0446,0.8340000000000001,0.794,0.794,0.37200000000000005,0.643,0.5429999999999999,0.593,0.43200000000000005,0.613,0.5329999999999999,0.402,0.573,0.583,0.402,0.48200000000000004,0.5329999999999999,0.573,0.442,0.503,0.452,0.523,0.47200000000000003,0.392,0.42200000000000004,0.6629999999999999,0.392,0.613,0.603,1.6580000000000001,1.4769999999999999,1.588,0.8740000000000001,1.548,1.4969999999999999,1.4669999999999999,0.633,408.66666666666674,72.33333333333333,578.3333333333334,0.0,173.33333333333337,6.0,43.66666666666666,0.0,142.66666666666666,0.0,422.33333333333326,219.0,11.0,0.0,12.0,0.0,0.0,0.0,1.6666666666666667,0.0,6.0,0.0,1.0,0.3333333333333333,2257.1
9,1.051,12.892000000000001,12.793,10.017999999999999,12.198,11.207,9.721,13.784,45.495,40.243,0.0446,0.0446,0.0347,0.0397,0.0397,0.0397,0.0397,0.0496,0.0446,0.804,0.754,0.754,0.392,0.643,0.523,0.613,0.42200000000000004,0.573,0.47200000000000003,0.43200000000000005,0.503,0.583,0.42200000000000004,0.48200000000000004,0.523,0.563,0.43200000000000005,0.503,0.452,0.523,0.47200000000000003,0.42200000000000004,0.382,0.653,0.382,0.583,0.603,1.6680000000000001,1.518,1.588,0.915,1.568,1.4969999999999999,1.4669999999999999,0.894,292.6666666666667,388.0,342.6666666666667,0.0,155.0,0.6666666666666666,62.0,4.0,262.6666666666667,0.0,476.33333333333326,397.66666666666674,5.0,1.6666666666666667,4.333333333333333,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.6666666666666665,1.0,8707.7
10,1.01,12.991,13.09,10.712,12.297,11.505,10.117,14.18,45.495,40.64,0.0397,0.0545,0.0397,0.0397,0.0446,0.0347,0.0397,0.0496,0.0446,0.8440000000000001,0.784,0.8240000000000001,0.37200000000000005,0.6829999999999999,0.573,0.643,0.43200000000000005,0.613,0.5429999999999999,0.43200000000000005,0.523,0.583,0.41200000000000003,0.48200000000000004,0.5429999999999999,0.583,0.452,0.5429999999999999,0.442,0.5329999999999999,0.462,0.402,0.442,0.6829999999999999,0.41200000000000003,0.613,0.613,1.6680000000000001,1.4469999999999998,1.618,0.925,1.548,1.4869999999999999,1.4969999999999999,0.593,267.0,93.66666666666669,486.33333333333326,0.0,64.33333333333333,3.0,273.3333333333333,120.66666666666669,94.33333333333331,0.0,396.33333333333326,407.0,12.0,2.0,7.0,0.0,0.0,0.0,6.666666666666668,3.333333333333333,4.333333333333333,0.0,0.3333333333333333,3.6666666666666665,3127.066666666666
